Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2018-01-02,108.3684351,-6.9,10,0.0,,-1
2018-01-03,110.69,-8.39,10,3.1,"Pusat gempa di laut, 40 km Tenggara GUNUNGKIDUL-DIY",-1
2018-01-05,111.04,-8.89,10,3.4,"
	di laut 79 km BaratDaya PACITAN-JATIM
",0
2018-01-10,108.69,-8.62,10,3.1,"
	Pusat gempa di laut 104 km Tenggara Kab. Pangandaran - JABAR
",-1
2018-01-11,108.7695147,-7.3,12,0.0,,-1
2018-01-13,109.07,-8.44,10,3.4,"
	Pusat gempa di laut 82 km Tenggara CILACAP-JATENG
",-1
2018-01-17,111.09,-8.87,10,3.0,"
	Pusat gempa di laut 76 km BaratDaya PACITAN-JATIM
",0
2018-01-19,111.497454,-7.3,12,0.0,,-1
2018-01-23,111.18,-8.91,10,3.9,"
	Pusat gempa di laut 81 km Tenggara PACITAN-JATIM
",-1
2018-01-26,110.45,-8.89,10,3.3,"
	Pusat gempa di laut 97 km BaratDaya GUNUNGKIDUL-DIY
",1
2018-02-05,114.7523654,-7.9,20,0.0,,-1
2018-02-08,113.29,-8.95,10,3.5,di laut 96 km Tenggara LUMAJANG-JATIM,-1
2018-02-09,113.65,-8.91,10,4.0,Pusat gempa di laut 82 km BaratDaya JEMBER-JATIM,-1
2018-02-10,110.55,-8.93,10,3.5,Dilaut 100 km BaratDaya GUNUNGKIDUL-DIY,1
2018-02-11,111.61,-8.42,109,3.5,Pusat gempa di laut 38 km Barat Daya Trenggalek - Jawa Timur,-1
2018-02-17,111.51,-8.82,28,3.1,Pusat gempa di laut 84 km Barat Daya Trenggalek - Jawa Timur,0
2018-02-18,111.4,-8.8,16,3.1,Pusat gempa dilaut 76 km tenggara Pacitan-Jatim,0
2018-02-21,112.8,-8.98,23,3.1,"Pusat gempa di laut 82 km Tenggara KAB-MALANG-JATIM
",2
2018-02-22,111.21,-8.96,10,2.8,Pusat gempa dilaut 87 km tenggara Pacitan-Jatim,0
2018-02-24,113.19,-7.08,13,2.6,Pusat gempa di darat 11 km BaratLaut SAMPANG-JATIM,-1
2018-02-25,109.02,-8.19,59,3.0,Pusat gempa di laut 54 km BaratDaya CILACAP-JATENG,-1
2018-02-28,113.33,-7.18,18,2.8,Pusat gempa di darat 8 km Tenggara SAMPANG-JATIM,-1
2018-03-03,111.01,-8.8,9,2.8,Pusat gempa di laut 69 km BaratDaya PACITAN-JATIM,0
2018-03-08,109.75,-8.27,109,2.8,"
	Pusat gempa di laut 66 km BaratDaya PURWOREJO-JATENG
",-1
2018-03-17,112.83,-8.85,30,2.9,"
	Pusat gempa di laut 68 km Tenggara KAB-MALANG-JATIM
",-1
2018-03-22,112.12,-8.92,30,3.4,"
	Pusat gempa di laut 88 km BaratDaya KAB-BLITAR-JATIM
",-1
2018-03-23,110.79,-8.48,17,2.8,"
	Pusat gempa di laut 48 km BaratDaya PACITAN-JATIM
",0
2018-03-24,108.9,-7.32,215,3.8,"
	Pusat gempa di darat 32 km BaratLaut BANYUMAS-JATENG
",-1
2018-03-25,110.46,-8.05,10,2.7,"
	Pusat gempa di darat 17 km BaratDaya GUNUNGKIDUL-DIY
",-1
2018-03-26,111.3,-8.87,10,2.9,"
	Pusat gempa di laut 79 km Tenggara PACITAN-JATIM
",0
