Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2022-01-03,111.90333,-8.90822,20,3.1,"
	Pusat gempa dilaut 92 km BaratDaya KAB-BLITAR-JATIM
",-1
2022-01-04,111.26318,-7.99967,16,2.7,"
	pusat gempa di darat 26 km TimurLaut PACITAN - JATIM
",-1
2022-01-05,110.60122,-8.86156,12,2.7,"
	Pusat gempa dilaut 94 Km BaratDaya Pacitan - Jatim
",-1
2022-01-06,111.19167,-8.37583,70,2.9,"
	Pusat gempa di laut 24 km Tenggara PACITAN-JATIM
",-1
2022-01-07,112.27,-8.558,105,2.6,"
	Pusat gempa di laut 47 km Tenggara Blitar
",-1
2022-01-08,111.41,-8.86,12,2.7,"
	Pusat gempa di laut, 82 km Tenggara PACITAN-JATIM
",-1
2022-01-09,111.82554,-8.65591,40,3.2,"
	Pusat gempa dilaut, 65 Km Tenggara Trenggalek Jatim
",-1
2022-01-10,110.48217,-7.93576,15,1.8,"
	Pusat gempa di darat 14 km Tenggara BANTUL-DIY

	&nbsp;
",-1
2022-01-11,110.49518,-7.94371,13,2.0,"
	Pusat gempa di darat 13 km BaratLaut GUNUNGKIDUL-DIY
",-1
2022-01-12,110.72662,-8.6532,40,2.7,"
	Pusat gempa di laut 66 km BaratDaya Pacitan
",-1
2022-01-13,111.09,-8.59,38,2.7,"
	Pusat gempa di laut, 45 km BaratDaya PACITAN-JATIM
",-1
2022-01-14,112.93361,-7.2623,13,4.1,"
	Pusat gempa dilaut, 24 km Tenggara Bangkalan Jatim, dirasakan di Bangkalan III MMI, Sumenep, Juanda, Surabaya Timur, Surabaya Utara (II MMI)
",-1
2022-01-16,108.72782,-7.61857,10,5.7,"
	Puasat gempa di laut 115 km dari Pelabuhanratu - Jabar
",-1
2022-01-17,109.01498,-7.43048,20,3.1,"
	Pusat gempa di darat 24 km BaratDaya Banyumas
",-1
2022-01-18,110.47755,-8.06165,122,1.7,"
	Pusat gempa didarar 16 km BaratDaya GUNUNGKIDUL-DIY
",-1
2022-01-20,110.38,-7.96,12,1.3,"
	Pusat gempa didarat, 7 Km Tenggara Bantul DIY
",0
