Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2020-01-02,113.06,-8.9,93,2.9,"
	Pusat gempa di laut 87 km BaratDaya LUMAJANG-JATIM

	&nbsp;
",-1
2020-01-04,110.64,-8.2,79,3.0,"
	Pusat gempa di laut 23 km Tenggara GUNUNGKIDUL-DIY
",-1
2020-01-06,110.39,-8.93,51,3.3,"Pusat gempa di laut, 106 km BaratDaya GUNUNGKIDUL-DIY",0
2020-01-07,111.41,-7.65,33,2.6,"
	Pusat gempa di darat 8 km Tenggara MAGETAN-JATIM
",-1
2020-01-10,113.88,-8.55,93,3.3,"
	Pusat gempa didarat, 47 km Tenggara Jember Jatim
",-1
2020-01-11,110.76,-8.25,55,2.9,"Pusat gempa di laut, 32 km Tenggara GUNUNGKIDUL-DIY",0
2020-01-13,106.3071271,-7.3,12,0.0,,-1
2020-01-15,111.45,-8.28,134,3.3,"
	Pusat gempa di laut 36 km BD TRENGGALEK-JATIM
",-1
2020-01-18,109.4,-8.37,9,2.6,"
	Pusat gempa di laut 82 km BaratDaya KEBUMEN-JATENG
",-1
2020-01-22,110.6,-8.32,117,2.6,"
	Pusat gempa di laut 36 km BaratDaya GUNUNGKIDUL-DIY
",0
2020-01-23,111.37,-8.77,37,2.7,"
	Pusat gempa di laut 71 km Tenggara PACITAN-JATIM
",-1
2020-01-28,110.29,-8.37,7,2.5,"
	Pusat gempa di laut, 52 km BaratDaya BANTUL-DIY
",-1
2020-01-31,110.32,-8.86,10,2.6,"
	Pusat gempa dilaut 101 km BaratDaya GUNUNGKIDUL-DIY
",0
2020-02-01,110.55,-8.01,5,2.5,"
	Pusat gempa di darat 7 km BaratDaya Gunung Kidul-DIY
",-1
2020-02-02,110.43,-8.8,4,3.0,"
	Pusat gempa di laut, 91 km BaratDaya GUNUNGKIDUL-DIY
",0
2020-02-03,111.17,-8.3,101,3.4,"Pusat gempa di laut,15 km Tenggara PACITAN-JATIM",-1
2020-02-05,112.01,-7.77,5,2.6,"
	Pusat gempa didarat 8 km BaratLaut KOTA-KEDIRI-JATIM
",-1
2020-02-06,111.98,-7.83,5,2.5,"
	Pusat gempa di darat 4 km BaratLaut Kota Kediri-Jatim
",-1
2020-02-09,106.2222701,-6.0,20,0.0,,-1
